source: 01 1 119	“These children are the hope and future of Wushan,” Hillman said with a smile.

score: 0.918038, para: 01 118 119	“These children are the hope and future of Wushan,” Hillman said with a smile.

score: 0.918038, para: 01 118 119	“These children are the hope and future of Wushan,” Hillman said with a smile.

score: 0.918038, para: 01 118 119	“These children are the hope and future of Wushan,” Hillman said with a smile.

score: 0.616463, para: 01 15 29	Only now did the rest of the children awaken from their stupor. Although they didn’t understand why Hillman was pushing them to go back to their homes and wanted to continue watching the Saint-level combatants, Hillman’s awe-inspiring presence was still enough to send all of the children running speedily for their homes.

score: 0.616463, para: 01 15 29	Only now did the rest of the children awaken from their stupor. Although they didn’t understand why Hillman was pushing them to go back to their homes and wanted to continue watching the Saint-level combatants, Hillman’s awe-inspiring presence was still enough to send all of the children running speedily for their homes.

score: 0.616463, para: 01 15 29	Only now did the rest of the children awaken from their stupor. Although they didn’t understand why Hillman was pushing them to go back to their homes and wanted to continue watching the Saint-level combatants, Hillman’s awe-inspiring presence was still enough to send all of the children running speedily for their homes.

score: 0.616463, para: 01 15 29	Only now did the rest of the children awaken from their stupor. Although they didn’t understand why Hillman was pushing them to go back to their homes and wanted to continue watching the Saint-level combatants, Hillman’s awe-inspiring presence was still enough to send all of the children running speedily for their homes.

score: 0.590491, para: 01 103 106	Hillman smiled. He enjoyed telling stories to the children. This was a way to make the kids eager to train. Hillman had always felt that only by making the children voluntarily train would the children have great results.

score: 0.590491, para: 01 103 106	Hillman smiled. He enjoyed telling stories to the children. This was a way to make the kids eager to train. Hillman had always felt that only by making the children voluntarily train would the children have great results.

