source: 02 17 32	“Squeak squeak.” Bebe chirped at Linley.

score: 0.724628, para: 02 25 61	“Squeak squeak.” Bebe smirked at Linley, then said to him mentally, “I don’t know either, since I’ve never competed against any other magical beasts. But you definitely aren’t a match for me, hehe.” Bebe was extremely self-satisfied.

score: 0.724628, para: 02 25 61	“Squeak squeak.” Bebe smirked at Linley, then said to him mentally, “I don’t know either, since I’ve never competed against any other magical beasts. But you definitely aren’t a match for me, hehe.” Bebe was extremely self-satisfied.

score: 0.724628, para: 02 25 61	“Squeak squeak.” Bebe smirked at Linley, then said to him mentally, “I don’t know either, since I’ve never competed against any other magical beasts. But you definitely aren’t a match for me, hehe.” Bebe was extremely self-satisfied.

score: 0.693835, para: 02 15 22	“No, no way.” Bebe could also express some simple intentions to Linley through their soul link. At the same time, Bebe flashed his fangs towards Reynolds. “Squeak squeak!” He squeaked loudly, clearly very angry.

score: 0.693835, para: 02 15 22	“No, no way.” Bebe could also express some simple intentions to Linley through their soul link. At the same time, Bebe flashed his fangs towards Reynolds. “Squeak squeak!” He squeaked loudly, clearly very angry.

score: 0.693835, para: 02 15 22	“No, no way.” Bebe could also express some simple intentions to Linley through their soul link. At the same time, Bebe flashed his fangs towards Reynolds. “Squeak squeak!” He squeaked loudly, clearly very angry.

score: 0.637649, para: 02 15 21	Linley immediately asked Bebe through their soul link.

score: 0.637649, para: 02 15 21	Linley immediately asked Bebe through their soul link.

score: 0.637649, para: 02 15 21	Linley immediately asked Bebe through their soul link.

